施設名,住所,電話番号(代表),geocodes
若松幼稚園,〒273-0013船橋市若松2-3-3,047-431-7751,"{'northeast': {'lat': 35.6799572802915, 'lng': 139.9978598802915}, 'southwest': {'lat': 35.6772593197085, 'lng': 139.9951619197085}}"
まなびの森保育園　船橋競馬場駅前,〒273-0003船橋市宮本9-1-11,047-402-4402,"{'northeast': {'lat': 35.69092748029149, 'lng': 139.9984382802915}, 'southwest': {'lat': 35.68822951970849, 'lng': 139.9957403197085}}"
弥生保育園,〒273-0035千葉県船橋市本中山3-4-18,047-332-7283（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.7123291802915, 'lng': 139.9466966802915}, 'southwest': {'lat': 35.70963121970851, 'lng': 139.9439987197085}}"
みそら保育園,〒273-0036千葉県船橋市東中山2-1-20,047-302-2505,"{'northeast': {'lat': 35.7157758802915, 'lng': 139.9556738802915}, 'southwest': {'lat': 35.7130779197085, 'lng': 139.9529759197085}}"
さくら保育園,〒273-0034千葉県船橋市二子町474,047-302-8302（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.71101528029149, 'lng': 139.9515632802915}, 'southwest': {'lat': 35.7083173197085, 'lng': 139.9488653197085}}"
アリスなかよし保育園,〒273-0031千葉県船橋市西船2-29-28,047-436-1215（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.7152334802915, 'lng': 139.9716631802915}, 'southwest': {'lat': 35.7125355197085, 'lng': 139.9689652197085}}"
湊町保育園,〒273-0011千葉県船橋市湊町1-16-23,047-431-5085（一時預かり専用）,"{'northeast': {'lat': 35.6941728802915, 'lng': 139.9865294802915}, 'southwest': {'lat': 35.6914749197085, 'lng': 139.9838315197085}}"
前原ひまわり保育園,〒274-0825千葉県船橋市前原西4-18-19,047-474-7788,"{'northeast': {'lat': 35.69807508029151, 'lng': 140.0177866802915}, 'southwest': {'lat': 35.69537711970851, 'lng': 140.0150887197085}}"
田喜野井旭こども園,〒274-0073千葉県船橋市田喜野井4-30-12,047-456-3190（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.7046346802915, 'lng': 140.0438490802915}, 'southwest': {'lat': 35.7019367197085, 'lng': 140.0411511197085}}"
三山つくし保育園,〒274-0072千葉県船橋市三山9-31-7,047-473-4435,"{'northeast': {'lat': 35.6947742802915, 'lng': 140.0639470802915}, 'southwest': {'lat': 35.6920763197085, 'lng': 140.0612491197085}}"
アンデルセン第二保育園,〒274-0063　船橋市習志野台5-43-3,047-468-4673（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.7202151802915, 'lng': 140.0557168802915}, 'southwest': {'lat': 35.7175172197085, 'lng': 140.0530189197085}}"
ひばり保育園,〒274-0064千葉県船橋市松が丘1-33-4,047-466-5915,"{'northeast': {'lat': 35.7367117802915, 'lng': 140.0414424802915}, 'southwest': {'lat': 35.7340138197085, 'lng': 140.0387445197085}}"
まこと保育園,〒274-0056千葉県船橋市神保町275-34,047-457-1685,"{'northeast': {'lat': 35.76638003029149, 'lng': 140.0569219302915}, 'southwest': {'lat': 35.76368206970849, 'lng': 140.0542239697085}}"
あすなろ保育園,〒274-0806千葉県船橋市二和西2-6-1,047-447-0023,"{'northeast': {'lat': 35.74332658029149, 'lng': 140.0162567802915}, 'southwest': {'lat': 35.7406286197085, 'lng': 140.0135588197085}}"
ククルなかよし保育園,〒273-0865千葉県船橋市夏見2-11-43,047-424-0301（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.7104087802915, 'lng': 139.9892630802915}, 'southwest': {'lat': 35.7077108197085, 'lng': 139.9865651197085}}"
船橋旭こども園,〒273-0866千葉県船橋市夏見台5-7-13,047-439-5700（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.73188278029149, 'lng': 139.9941549802915}, 'southwest': {'lat': 35.72918481970849, 'lng': 139.9914570197085}}"
ローゼンかみやま保育園,〒273-0046千葉県船橋市上山町2-288-1,047-401-6291（一時預かり専用）,"{'northeast': {'lat': 35.7339109802915, 'lng': 139.9758316802915}, 'southwest': {'lat': 35.7312130197085, 'lng': 139.9731337197085}}"
シーガル保育園,〒274-0822千葉県船橋市飯山満町2-1007-1,047-404-8600（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.71480298029149, 'lng': 140.0228429802915}, 'southwest': {'lat': 35.7121050197085, 'lng': 140.0201450197085}}"
ゆいまーる保育園,〒273-0864千葉県船橋市北本町1-12-8,047-424-7723（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.71426888029149, 'lng': 139.9829653802915}, 'southwest': {'lat': 35.71157091970849, 'lng': 139.9802674197085}}"
丸山旭保育園,〒273-0048千葉県船橋市丸山5-33-25,047-438-3385（一時預かり専用）※予約システム対応,"{'northeast': {'lat': 35.7444570802915, 'lng': 139.9949347802915}, 'southwest': {'lat': 35.7417591197085, 'lng': 139.9922368197085}}"
あまねの杜保育園,〒273-0044千葉県船橋市行田2-9-10,047-401-5011,"{'northeast': {'lat': 35.72412618029149, 'lng': 139.9734761802915}, 'southwest': {'lat': 35.72142821970849, 'lng': 139.9707782197085}}"
東船橋ちとせ保育園,〒273-0002千葉県船橋市東船橋1-16-25,047-423-5717,"{'northeast': {'lat': 35.7035542, 'lng': 140.0112155}, 'southwest': {'lat': 35.6894305, 'lng': 139.9974705}}"
古和釜幼稚園,〒274-0064船橋市松が丘4-32-1,047-464-3030,"{'northeast': {'lat': 35.73417218029149, 'lng': 140.0503559802915}, 'southwest': {'lat': 35.7314742197085, 'lng': 140.0476580197085}}"
健伸幼稚園,〒273-0048船橋市丸山5-12-7,047-438-7018（一時預かり専用）,"{'northeast': {'lat': 35.74771468029149, 'lng': 139.9954124302915}, 'southwest': {'lat': 35.7450167197085, 'lng': 139.9927144697085}}"
八木ケ谷幼稚園,〒274-0802船橋市八木が谷2-18-1,047-447-6729,"{'northeast': {'lat': 35.7620307802915, 'lng': 140.0342261802915}, 'southwest': {'lat': 35.7593328197085, 'lng': 140.0315282197085}}"
英進幼稚園,〒274-0804船橋市みやぎ台3-10-10,047-448-2121（一時預かり専用）,"{'northeast': {'lat': 35.75582728029149, 'lng': 140.0387533802915}, 'southwest': {'lat': 35.75312931970849, 'lng': 140.0360554197085}}"
