施設名,住所,電話番号(代表),geocodes
宮本第一保育園,〒273-0003千葉県船橋市宮本6-26-27,047-442-5639,"{'northeast': {'lat': 35.6992823802915, 'lng': 139.9970183802915}, 'southwest': {'lat': 35.6965844197085, 'lng': 139.9943204197085}}"
宮本第二保育園,〒273-0003千葉県船橋市宮本8-9-10,047-423-1304,"{'northeast': {'lat': 35.6928209802915, 'lng': 140.0014671802915}, 'southwest': {'lat': 35.6901230197085, 'lng': 139.9987692197085}}"
若松保育園,〒273-0013千葉県船橋市若松2-6-3,047-433-4041,"{'northeast': {'lat': 35.6808319302915, 'lng': 139.9957283302915}, 'southwest': {'lat': 35.6781339697085, 'lng': 139.9930303697085}}"
湊町保育園,〒273-0011千葉県船橋市湊町1-16-23,047-431-4961,"{'northeast': {'lat': 35.6941728802915, 'lng': 139.9865294802915}, 'southwest': {'lat': 35.6914749197085, 'lng': 139.9838315197085}}"
千鳥保育園,〒273-0004千葉県船橋市南本町13-1,047-431-5061,"{'northeast': {'lat': 35.69943578029149, 'lng': 139.9783660802915}, 'southwest': {'lat': 35.6967378197085, 'lng': 139.9756681197085}}"
中央保育園,〒273-0005千葉県船橋市本町4-17-21,047-422-4762,"{'northeast': {'lat': 35.7012480802915, 'lng': 139.9903334802915}, 'southwest': {'lat': 35.6985501197085, 'lng': 139.9876355197085}}"
本町保育園,〒273-0005千葉県船橋市本町6-7-18,047-424-7011,"{'northeast': {'lat': 35.7065189802915, 'lng': 139.9887697802915}, 'southwest': {'lat': 35.7038210197085, 'lng': 139.9860718197085}}"
海神第一保育園,〒273-0021千葉県船橋市海神2-13-25,047-422-2462,"{'northeast': {'lat': 35.7056706802915, 'lng': 139.9828998802915}, 'southwest': {'lat': 35.70297271970851, 'lng': 139.9802019197085}}"
海神第二保育園,〒273-0005千葉県船橋市本町1-23-7,047-435-0783,"{'northeast': {'lat': 35.7014478802915, 'lng': 139.9826308802915}, 'southwest': {'lat': 35.6987499197085, 'lng': 139.9799329197085}}"
西船保育園,〒273-0031千葉県船橋市西船6-1-24,047-333-8187,"{'northeast': {'lat': 35.71528438029149, 'lng': 139.9595487802915}, 'southwest': {'lat': 35.7125864197085, 'lng': 139.9568508197085}}"
本中山保育園,〒273-0035千葉県船橋市本中山5-6-1,047-333-6451,"{'northeast': {'lat': 35.7085798802915, 'lng': 139.9439556802915}, 'southwest': {'lat': 35.7058819197085, 'lng': 139.9412577197085}}"
若葉保育園,〒273-0047千葉県船橋市藤原7-41-1,047-439-0472,"{'northeast': {'lat': 35.74539358029149, 'lng': 139.9894223802915}, 'southwest': {'lat': 35.7426956197085, 'lng': 139.9867244197085}}"
行田保育園,〒273-0044千葉県船橋市行田3-1-2,047-439-5000,"{'northeast': {'lat': 35.7182944802915, 'lng': 139.9709653802915}, 'southwest': {'lat': 35.7155965197085, 'lng': 139.9682674197085}}"
夏見第一保育園,〒273-0865千葉県船橋市夏見4-10-26,047-422-5198,"{'northeast': {'lat': 35.7142496802915, 'lng': 139.9933691802915}, 'southwest': {'lat': 35.7115517197085, 'lng': 139.9906712197085}}"
夏見第二保育園,〒273-0866千葉県船橋市夏見台4-1-1,047-439-6231,"{'northeast': {'lat': 35.7242019802915, 'lng': 139.9934156802915}, 'southwest': {'lat': 35.7215040197085, 'lng': 139.9907177197085}}"
高根保育園,〒274-0814千葉県船橋市新高根4-19-2,047-463-1418,"{'northeast': {'lat': 35.73323448029149, 'lng': 140.0282404802915}, 'southwest': {'lat': 35.7305365197085, 'lng': 140.0255425197085}}"
金杉台保育園,〒273-0852千葉県船橋市金杉台1-1-6,047-447-0022,"{'northeast': {'lat': 35.73656578029149, 'lng': 140.0127213802915}, 'southwest': {'lat': 35.73386781970849, 'lng': 140.0100234197085}}"
二和保育園,〒274-0805千葉県船橋市二和東5-50-1,047-447-0801,"{'northeast': {'lat': 35.75286268029149, 'lng': 140.0267073802915}, 'southwest': {'lat': 35.7501647197085, 'lng': 140.0240094197085}}"
三山保育園,〒274-0072千葉県船橋市三山6-26-26,047-476-2701,"{'northeast': {'lat': 35.7027259802915, 'lng': 140.0593930802915}, 'southwest': {'lat': 35.7000280197085, 'lng': 140.0566951197085}}"
二宮保育園,〒274-0825千葉県船橋市前原西6-1-12,047-472-1097,"{'northeast': {'lat': 35.7040551802915, 'lng': 140.0267875802915}, 'southwest': {'lat': 35.70135721970851, 'lng': 140.0240896197085}}"
習志野台第一保育園,〒274-0063千葉県船橋市習志野台2-50-3,047-465-4124,"{'northeast': {'lat': 35.72469358029149, 'lng': 140.0475222802915}, 'southwest': {'lat': 35.72199561970849, 'lng': 140.0448243197085}}"
習志野台第二保育園,〒274-0063千葉県船橋市習志野台6-7-1,047-464-3818,"{'northeast': {'lat': 35.7277163802915, 'lng': 140.0514035802915}, 'southwest': {'lat': 35.7250184197085, 'lng': 140.0487056197085}}"
高根台保育園,〒274-0065千葉県船橋市高根台2-2-2,047-466-2611,"{'northeast': {'lat': 35.7356971, 'lng': 140.0357283}, 'southwest': {'lat': 35.7311665, 'lng': 140.0283244}}"
緑台保育園,〒274-0818千葉県船橋市緑台2-4-11,047-447-9122,"{'northeast': {'lat': 35.7298866802915, 'lng': 140.0152375802915}, 'southwest': {'lat': 35.7271887197085, 'lng': 140.0125396197085}}"
芝山第一保育園,〒274-0816千葉県船橋市芝山3-10-4,047-462-7575,"{'northeast': {'lat': 35.71918618029149, 'lng': 140.0208115802915}, 'southwest': {'lat': 35.71648821970849, 'lng': 140.0181136197085}}"
小室保育園,〒270-1471千葉県船橋市小室町3305,047-457-1717,"{'northeast': {'lat': 35.78944188029149, 'lng': 140.0773503802915}, 'southwest': {'lat': 35.78674391970849, 'lng': 140.0746524197085}}"
浜町保育園,〒273-0012千葉県船橋市浜町1-1-1,047-431-3262,"{'northeast': {'lat': 35.69258378029149, 'lng': 139.9907645802915}, 'southwest': {'lat': 35.68988581970849, 'lng': 139.9880666197085}}"
めぐみ保育園,〒274-0077　船橋市薬円台4-6-1,電話：047-466-0566 FAX：047-463-1881,"{'northeast': {'lat': 35.71367008029149, 'lng': 140.0483489802915}, 'southwest': {'lat': 35.71097211970849, 'lng': 140.0456510197085}}"
中山あけぼの保育園,〒273-0035　船橋市本中山3-19-3,電話：047-334-9950 FAX：047-334-8861,"{'northeast': {'lat': 35.7145975802915, 'lng': 139.9436280802915}, 'southwest': {'lat': 35.7118996197085, 'lng': 139.9409301197085}}"
ひばり保育園,〒274-0064　船橋市松が丘1-33-4,電話：047-466-5915 FAX：047-466-5918,"{'northeast': {'lat': 35.7367117802915, 'lng': 140.0414424802915}, 'southwest': {'lat': 35.7340138197085, 'lng': 140.0387445197085}}"
杉の子保育園,〒274-0814　船橋市新高根3-8-1,電話：047-465-2336 FAX：047-461-7260,"{'northeast': {'lat': 35.7309261802915, 'lng': 140.0241806802915}, 'southwest': {'lat': 35.7282282197085, 'lng': 140.0214827197085}}"
しらゆり保育園,〒273-0864　船橋市北本町2-47-7,電話：047-422-5051 FAX：047-422-0415,"{'northeast': {'lat': 35.72206868029149, 'lng': 139.9854166802915}, 'southwest': {'lat': 35.71937071970849, 'lng': 139.9827187197085}}"
あすなろ保育園,〒274-0806　船橋市二和西2-6-1,電話：047-447-0023 FAX：047-447-0023,"{'northeast': {'lat': 35.74332658029149, 'lng': 140.0162567802915}, 'southwest': {'lat': 35.7406286197085, 'lng': 140.0135588197085}}"
たかね台ベビーホーム,〒274-0065　船橋市高根台1-9-23-201,電話：047-465-1100 FAX：047-465-1100,"{'northeast': {'lat': 35.7331150302915, 'lng': 140.0317742302915}, 'southwest': {'lat': 35.7304170697085, 'lng': 140.0290762697085}}"
まこと保育園,〒274-0056　船橋市神保町275-34,電話：047-457-1685 FAX：047-457-1687,"{'northeast': {'lat': 35.76638003029149, 'lng': 140.0569219302915}, 'southwest': {'lat': 35.76368206970849, 'lng': 140.0542239697085}}"
三咲小鳩保育園,〒274-0812　船橋市三咲3-6-2,電話：047-447-7612 FAX：047-447-7667,"{'northeast': {'lat': 35.7550585802915, 'lng': 140.0377016802915}, 'southwest': {'lat': 35.7523606197085, 'lng': 140.0350037197085}}"
てまり保育園,〒273-0047　船橋市藤原5-4-39,電話：047-438-0073 FAX：047-438-0039,"{'northeast': {'lat': 35.74014028029149, 'lng': 139.9807984802915}, 'southwest': {'lat': 35.73744231970849, 'lng': 139.9781005197085}}"
みどり保育園,〒273-0001　船橋市市場4-12-3,電話：047-424-4152 FAX：047-423-2130,"{'northeast': {'lat': 35.7045196802915, 'lng': 140.0007022802915}, 'southwest': {'lat': 35.7018217197085, 'lng': 139.9980043197085}}"
三山つくし保育園,〒274-0072　船橋市三山9-31-7,電話：047-473-4435 FAX：047-493-5272,"{'northeast': {'lat': 35.6947742802915, 'lng': 140.0639470802915}, 'southwest': {'lat': 35.6920763197085, 'lng': 140.0612491197085}}"
アンデルセン保育園,〒274-0063　船橋市習志野台7-8-21,電話：047-462-8111 FAX：047-462-8112,"{'northeast': {'lat': 35.72885058029149, 'lng': 140.0535184802915}, 'southwest': {'lat': 35.72615261970849, 'lng': 140.0508205197085}}"
やまびこ保育園,〒274-0807　船橋市咲が丘2-11-5,電話：047-449-0225 FAX：047-449-0226,"{'northeast': {'lat': 35.7620328802915, 'lng': 140.0236233802915}, 'southwest': {'lat': 35.7593349197085, 'lng': 140.0209254197085}}"
弥生保育園,〒273-0035　船橋市本中山3-4-18,電話：047-332-7280 FAX：047-332-1033,"{'northeast': {'lat': 35.7123291802915, 'lng': 139.9466966802915}, 'southwest': {'lat': 35.70963121970851, 'lng': 139.9439987197085}}"
かもめ保育園,〒274-0814　船橋市新高根6-43-3,電話：047-466-5553 FAX：047-465-5530,"{'northeast': {'lat': 35.7285653802915, 'lng': 140.0270821802915}, 'southwest': {'lat': 35.7258674197085, 'lng': 140.0243842197085}}"
かもめ保育園 芝山分園,〒274-0816　船橋市芝山3-10-8(船橋市芝山出張所2F),電話：047-456-4353 FAX：047-456-4354,"{'northeast': {'lat': 35.71749398029149, 'lng': 140.0219489802915}, 'southwest': {'lat': 35.71479601970849, 'lng': 140.0192510197085}}"
前原保育園,〒274-0825　船橋市前原西8-23-5,電話：047-465-2429 FAX：047-469-6423,"{'northeast': {'lat': 35.7045156302915, 'lng': 140.0283586802915}, 'southwest': {'lat': 35.7018176697085, 'lng': 140.0256607197085}}"
ベル・ナーサリー,〒273-0044　船橋市行田1-49-1,電話：047-430-0086 FAX：047-430-0034,"{'northeast': {'lat': 35.72249628029149, 'lng': 139.9825762802915}, 'southwest': {'lat': 35.7197983197085, 'lng': 139.9798783197085}}"
アンデルセン第二保育園,〒274-0063　船橋市習志野台5-43-3,電話：047-468-4686 FAX：047-468-4685,"{'northeast': {'lat': 35.7202151802915, 'lng': 140.0557168802915}, 'southwest': {'lat': 35.7175172197085, 'lng': 140.0530189197085}}"
西船みどり保育園,〒273-0031　船橋市西船1-21-50,電話：047-435-4152 FAX：047-435-8590,"{'northeast': {'lat': 35.7072121802915, 'lng': 139.9647886802915}, 'southwest': {'lat': 35.7045142197085, 'lng': 139.9620907197085}}"
アリスなかよし保育園,〒273-0031　船橋市西船2-29-28,電話：047-436-1212 FAX：047-436-1211,"{'northeast': {'lat': 35.7152334802915, 'lng': 139.9716631802915}, 'southwest': {'lat': 35.7125355197085, 'lng': 139.9689652197085}}"
ロータス保育園,〒273-0047　船橋市藤原5-23-2,電話：047-439-6663 FAX：047-439-6657,"{'northeast': {'lat': 35.74181098029151, 'lng': 139.9832516802915}, 'southwest': {'lat': 35.73911301970851, 'lng': 139.9805537197085}}"
海神南保育園,〒273-0024　船橋市海神町南1-1627-2,電話：047-411-6543 FAX：047-436-6057,"{'northeast': {'lat': 35.70153678029151, 'lng': 139.9689827802915}, 'southwest': {'lat': 35.69883881970851, 'lng': 139.9662848197085}}"
前原ひまわり保育園,〒274-0825　船橋市前原西4-18-19,電話：047-474-7788 FAX：047-411-5655,"{'northeast': {'lat': 35.69807508029151, 'lng': 140.0177866802915}, 'southwest': {'lat': 35.69537711970851, 'lng': 140.0150887197085}}"
船橋あおぞら保育園,〒274-0812　船橋市三咲3-12-55,電話：047-407-9870 FAX：047-407-9875,"{'northeast': {'lat': 35.75441058029149, 'lng': 140.0337725802915}, 'southwest': {'lat': 35.75171261970849, 'lng': 140.0310746197085}}"
船橋あおぞら保育園 分園,〒274-0805　船橋市二和東6-16-10　エバラビル2F,電話：047-440-8977 FAX：047-440-8978,"{'northeast': {'lat': 35.75683198029149, 'lng': 140.0242799802915}, 'southwest': {'lat': 35.75413401970849, 'lng': 140.0215820197085}}"
プレスクール・ベル,〒273-0021　船橋市海神4-23-16,電話：047-410-0311 FAX：047-410-0312,"{'northeast': {'lat': 35.7106500802915, 'lng': 139.9762789802915}, 'southwest': {'lat': 35.7079521197085, 'lng': 139.9735810197085}}"
夏見台保育園,〒273-0866　船橋市夏見台2-16-1,電話：047-429-7231 FAX：047-439-5963,"{'northeast': {'lat': 35.7227269802915, 'lng': 139.9978477802915}, 'southwest': {'lat': 35.72002901970851, 'lng': 139.9951498197085}}"
みそら保育園,〒273-0036　船橋市東中山2-1-20,電話：047-302-2505 FAX：047-302-2506,"{'northeast': {'lat': 35.7157758802915, 'lng': 139.9556738802915}, 'southwest': {'lat': 35.7130779197085, 'lng': 139.9529759197085}}"
さくら保育園,〒273-0034　船橋市二子町474,電話：047-302-8301 FAX：047-333-3779,"{'northeast': {'lat': 35.71101528029149, 'lng': 139.9515632802915}, 'southwest': {'lat': 35.7083173197085, 'lng': 139.9488653197085}}"
印内保育園,〒273-0039　船橋市印内2-2-31,電話：047-433-8368 FAX：047-433-8378,"{'northeast': {'lat': 35.7162045802915, 'lng': 139.9662635802915}, 'southwest': {'lat': 35.7135066197085, 'lng': 139.9635656197085}}"
ククルなかよし保育園,〒273-0865　船橋市夏見2-11-43,電話：047-424-0101 FAX：047-424-0007,"{'northeast': {'lat': 35.7104087802915, 'lng': 139.9892630802915}, 'southwest': {'lat': 35.7077108197085, 'lng': 139.9865651197085}}"
なないろ保育園,〒273-0044　船橋市行田1-39-5,電話：047-407-1201 FAX：047-407-1203,"{'northeast': {'lat': 35.7236898302915, 'lng': 139.9793324302915}, 'southwest': {'lat': 35.72099186970851, 'lng': 139.9766344697085}}"
