施設名,住所,電話番号(代表),geocodes
前原児童ホーム,〒274-0825千葉県船橋市前原西6-1-12,047-475-5454,"{'northeast': {'lat': 35.7040551802915, 'lng': 140.0267875802915}, 'southwest': {'lat': 35.70135721970851, 'lng': 140.0240896197085}}"
高根台児童ホーム,〒274-0065千葉県船橋市高根台2-2-2,047-466-3638,"{'northeast': {'lat': 35.7356971, 'lng': 140.0357283}, 'southwest': {'lat': 35.7311665, 'lng': 140.0283244}}"
習志野台児童ホーム,〒274-0063千葉県船橋市習志野台3-4-1,047-464-0001,"{'northeast': {'lat': 35.7232664302915, 'lng': 140.0500847302915}, 'southwest': {'lat': 35.7205684697085, 'lng': 140.0473867697085}}"
金杉台児童ホーム,〒273-0852千葉県船橋市金杉台2-2-4,047-447-7837,"{'northeast': {'lat': 35.73725478029149, 'lng': 140.0138270802915}, 'southwest': {'lat': 35.73455681970849, 'lng': 140.0111291197085}}"
若松児童ホーム,〒273-0013千葉県船橋市若松2-3-6,047-433-7991,"{'northeast': {'lat': 35.6806119802915, 'lng': 139.9981516802915}, 'southwest': {'lat': 35.6779140197085, 'lng': 139.9954537197085}}"
西船児童ホーム,〒273-0033千葉県船橋市本郷町554,047-333-2007,"{'northeast': {'lat': 35.70961018029149, 'lng': 139.9521018802915}, 'southwest': {'lat': 35.70691221970849, 'lng': 139.9494039197085}}"
小室児童ホーム,〒270-1471千葉県船橋市小室町3308,047-457-1000,"{'northeast': {'lat': 35.78942078029149, 'lng': 140.0756432802915}, 'southwest': {'lat': 35.78672281970849, 'lng': 140.0729453197085}}"
三山児童ホーム,〒274-0072千葉県船橋市三山2-42-3,047-478-6800,"{'northeast': {'lat': 35.6977265802915, 'lng': 140.0507410802915}, 'southwest': {'lat': 35.6950286197085, 'lng': 140.0480431197085}}"
八木が谷児童ホーム,〒274-0804千葉県船橋市みやぎ台1-7-1,047-448-4400,"{'northeast': {'lat': 35.75772188029149, 'lng': 140.0338161802915}, 'southwest': {'lat': 35.75502391970849, 'lng': 140.0311182197085}}"
松が丘児童ホーム,〒274-0064千葉県船橋市松が丘1-52-22,047-463-5087,"{'northeast': {'lat': 35.7373523802915, 'lng': 140.0459321802915}, 'southwest': {'lat': 35.73465441970851, 'lng': 140.0432342197085}}"
飯山満児童ホーム,〒274-0822千葉県船橋市飯山満町2-488-8,047-468-0411,"{'northeast': {'lat': 35.7092488802915, 'lng': 140.0211898802915}, 'southwest': {'lat': 35.7065509197085, 'lng': 140.0184919197085}}"
夏見児童ホーム,〒273-0865千葉県船橋市夏見4-39-15,047-423-5999,"{'northeast': {'lat': 35.7181062802915, 'lng': 139.9916582802915}, 'southwest': {'lat': 35.7154083197085, 'lng': 139.9889603197085}}"
塚田児童ホーム,〒273-0042千葉県船橋市前貝塚町601-1,047-439-9299,"{'northeast': {'lat': 35.7248381802915, 'lng': 139.9811960802915}, 'southwest': {'lat': 35.7221402197085, 'lng': 139.9784981197085}}"
宮本児童ホーム,〒273-0003千葉県船橋市宮本6-18-1,047-424-9842,"{'northeast': {'lat': 35.6990529802915, 'lng': 139.9963831802915}, 'southwest': {'lat': 35.69635501970851, 'lng': 139.9936852197085}}"
三咲児童ホーム,〒274-0812千葉県船橋市三咲3-5-10,047-448-2397,"{'northeast': {'lat': 35.75385578029151, 'lng': 140.0357253802915}, 'southwest': {'lat': 35.75115781970851, 'lng': 140.0330274197085}}"
新高根児童ホーム,〒274-0814千葉県船橋市新高根1-12-9,047-469-3940,"{'northeast': {'lat': 35.72529288029151, 'lng': 140.0230649802915}, 'southwest': {'lat': 35.72259491970851, 'lng': 140.0203670197085}}"
薬円台児童ホーム,〒274-0077千葉県船橋市薬円台5-18-1,047-469-4884,"{'northeast': {'lat': 35.7115647802915, 'lng': 140.0411167802915}, 'southwest': {'lat': 35.7088668197085, 'lng': 140.0384188197085}}"
海神児童ホーム,〒273-0022千葉県船橋市海神町2-264-5,047-432-4661,"{'northeast': {'lat': 35.70246098029149, 'lng': 139.9763506802915}, 'southwest': {'lat': 35.6997630197085, 'lng': 139.9736527197085}}"
法典児童ホーム,〒273-0047千葉県船橋市藤原3-2-15,047-429-0813,"{'northeast': {'lat': 35.73622178029149, 'lng': 139.9767676802915}, 'southwest': {'lat': 35.73352381970849, 'lng': 139.9740697197085}}"
本中山児童ホーム,〒273-0035千葉県船橋市本中山1-6-6,047-333-7701,"{'northeast': {'lat': 35.7169019802915, 'lng': 139.9485671802915}, 'southwest': {'lat': 35.7142040197085, 'lng': 139.9458692197085}}"
坪井児童ホーム,〒274-0062千葉県船橋市坪井町755-4,047-468-1505,"{'northeast': {'lat': 35.7339602802915, 'lng': 140.0596460802915}, 'southwest': {'lat': 35.7312623197085, 'lng': 140.0569481197085}}"
