施設名,住所,電話番号(代表),geocodes
小規模保育所 リトルキディ,〒274-0060　船橋市坪井東3-10-1　グランソシア船橋芽吹の杜内,電話：047-436-8011 FAX：047-436-8012,"{'northeast': {'lat': 35.7296705802915, 'lng': 140.0623974802915}, 'southwest': {'lat': 35.7269726197085, 'lng': 140.0596995197085}}"
うみのほいくえん,〒273-0011　船橋市湊町2-2-20　アソルティ船橋102・202,電話：047-468-8698 FAX：047-468-8698,"{'northeast': {'lat': 35.6971234802915, 'lng': 139.9853266302915}, 'southwest': {'lat': 35.6944255197085, 'lng': 139.9826286697085}}"
パルパステル保育園,〒273-0005　船橋市本町5-14-15　パルパステル101,電話：047-460-6666 FAX：047-466-2989,"{'northeast': {'lat': 35.7032507802915, 'lng': 139.9900152802915}, 'southwest': {'lat': 35.7005528197085, 'lng': 139.9873173197085}}"
キッズランド未来,〒274-0805　船橋市二和東6-18-27　山和ビル1F,電話：047-448-7735 FAX：047-401-9395,"{'northeast': {'lat': 35.7572449302915, 'lng': 140.0255902302915}, 'southwest': {'lat': 35.7545469697085, 'lng': 140.0228922697085}}"
保育ルーム キューティー,〒274-0824　船橋市前原東5-18-4,電話：047-427-7643 FAX：047-427-7643,"{'northeast': {'lat': 35.7020278802915, 'lng': 140.0332515802915}, 'southwest': {'lat': 35.6993299197085, 'lng': 140.0305536197085}}"
太陽の子 船橋三咲保育園,〒274-0813　船橋市南三咲1-20-10　1F,電話：047-440-6585 FAX：047-440-6586,"{'northeast': {'lat': 35.73710483029151, 'lng': 140.0253797302915}, 'southwest': {'lat': 35.73440686970851, 'lng': 140.0226817697085}}"
ひだまり滝台保育園,〒274-0074　船橋市滝台1-12-12,電話：047-436-8840 FAX：047-436-8840,"{'northeast': {'lat': 35.7090584302915, 'lng': 140.0381197302915}, 'southwest': {'lat': 35.7063604697085, 'lng': 140.0354217697085}}"
京進のほいくえん HOPPA船橋駅園,〒273-0005　船橋市本町4-7-17,電話：047-405-2613 FAX：047-405-2614,"{'northeast': {'lat': 35.7023790802915, 'lng': 139.9918456802915}, 'southwest': {'lat': 35.6996811197085, 'lng': 139.9891477197085}}"
京進のほいくえん HOPPA津田沼園,〒274-0825　船橋市前原西2-7-9　三真ビル2F,電話：047-409-9571 FAX：047-409-9572,"{'northeast': {'lat': 35.6940283802915, 'lng': 140.0204310802915}, 'southwest': {'lat': 35.6913304197085, 'lng': 140.0177331197085}}"
リトル・清和,〒273-0042　船橋市前貝塚町646-8,電話：047-404-7516 FAX：047-439-1793,"{'northeast': {'lat': 35.7276123802915, 'lng': 139.9767333302915}, 'southwest': {'lat': 35.7249144197085, 'lng': 139.9740353697085}}"
トレポンテ駅前保育園,〒273-0005　船橋市本町6-8-1,電話：047-409-8816 FAX：047-421-0023,"{'northeast': {'lat': 35.7067077802915, 'lng': 139.9868111802915}, 'southwest': {'lat': 35.7040098197085, 'lng': 139.9841132197085}}"
りりぱっとナーサリー津田沼園,〒274-0825　船橋市前原西2-44-10,電話：047-405-2331 FAX：047-405-2433,"{'northeast': {'lat': 35.6955296802915, 'lng': 140.0203880802915}, 'southwest': {'lat': 35.6928317197085, 'lng': 140.0176901197085}}"
りりぱっとナーサリー中山園,〒273-0035　船橋市本中山2-23-16,電話：047-303-3038 FAX：047-303-3038,"{'northeast': {'lat': 35.7165167802915, 'lng': 139.9435168802915}, 'southwest': {'lat': 35.7138188197085, 'lng': 139.9408189197085}}"
ココファン・ナーサリー西船橋,〒273-0034　船橋市二子町610,電話：047-302-7761 FAX：047-333-3131,"{'northeast': {'lat': 35.7100761802915, 'lng': 139.9501748802915}, 'southwest': {'lat': 35.7073782197085, 'lng': 139.9474769197085}}"
健伸むぎの子保育園,〒273-0048　船橋市丸山5-15-15,電話：047-404-8746 FAX：047-404-8747,"{'northeast': {'lat': 35.7471879802915, 'lng': 139.9961089802915}, 'southwest': {'lat': 35.7444900197085, 'lng': 139.9934110197085}}"
すずらん保育園,〒274-0072　船橋市三山3-39-2,電話：047-409-9541 FAX：047-409-9545,"{'northeast': {'lat': 35.6984836802915, 'lng': 140.0528948802915}, 'southwest': {'lat': 35.6957857197085, 'lng': 140.0501969197085}}"
クレヨンキッズ北習志野園,〒274-0063　船橋市習志野台1-34-25,電話：047-456-4440 FAX：047-456-4441,"{'northeast': {'lat': 35.72445648029149, 'lng': 140.0416347302915}, 'southwest': {'lat': 35.72175851970849, 'lng': 140.0389367697085}}"
東船橋色葉保育園,〒273-0002　船橋市東船橋4-31-9,電話：047-460-2727 FAX：047-460-2737,"{'northeast': {'lat': 35.70086798029149, 'lng': 140.0064928802915}, 'southwest': {'lat': 35.69817001970849, 'lng': 140.0037949197085}}"
リップル保育園 西船橋,〒273-0032　船橋市葛飾町2-378-7,電話：047-401-5567 FAX：047-401-5568,"{'northeast': {'lat': 35.7084629802915, 'lng': 139.9575868802915}, 'southwest': {'lat': 35.7057650197085, 'lng': 139.9548889197085}}"
ひかり保育園,〒274-0063　船橋市習志野台4-3-9,電話：047-456-6370 FAX：047-456-6370,"{'northeast': {'lat': 35.7167684802915, 'lng': 140.0455034802915}, 'southwest': {'lat': 35.7140705197085, 'lng': 140.0428055197085}}"
ミアヘルサ保育園ひびき新船橋第二,〒273-0045　船橋市山手1-3-17,電話：047-409-9055 FAX：047-409-9056,"{'northeast': {'lat': 35.7128216802915, 'lng': 139.9813677802915}, 'southwest': {'lat': 35.71012371970851, 'lng': 139.9786698197085}}"
やきがやなかよし保育園,船橋市八木が谷2-18-1,電話：047-498-9367 FAX：047-498-9368,"{'northeast': {'lat': 35.7620307802915, 'lng': 140.0342261802915}, 'southwest': {'lat': 35.7593328197085, 'lng': 140.0315282197085}}"
サンヴェルデ保育園,船橋市緑台2-4-17,電話：047-402-2270 FAX：047-402-2271,"{'northeast': {'lat': 35.72989863029149, 'lng': 140.0159221302915}, 'southwest': {'lat': 35.72720066970849, 'lng': 140.0132241697085}}"
ひだまり保育園,船橋市薬円台6-1-1　薬園台駅2階,電話：047-404-8511 FAX：047-404-8512,"{'northeast': {'lat': 35.7115416802915, 'lng': 140.0390339802915}, 'southwest': {'lat': 35.7088437197085, 'lng': 140.0363360197085}}"
こりんご保育園,〒273-0002　船橋市東船橋1-38-3　清水ビル2階,電話：047-406-4380 FAX：047-413-0666,"{'northeast': {'lat': 35.7005403302915, 'lng': 140.0054107802915}, 'southwest': {'lat': 35.6978423697085, 'lng': 140.0027128197085}}"
保育ルーム　サンライズ船橋,〒273-0005　船橋市本町1-25-18　ジーリオ船橋,電話：047-422-0805 FAX：047-422-0805,"{'northeast': {'lat': 35.7021984302915, 'lng': 139.9834204802915}, 'southwest': {'lat': 35.6995004697085, 'lng': 139.9807225197085}}"
