施設名,住所,電話番号(代表),geocodes
恵楓幼稚園,〒273-0003　千葉県船橋市宮本8-35-12,047-424-5100,"{'lat': 35.6909075, 'lng': 139.9987122}"
若松幼稚園,〒273-0013　千葉県船橋市若松2-3-3,047-431-7751,"{'lat': 35.6786083, 'lng': 139.9965109}"
船橋幼稚園,〒273-0005　千葉県船橋市本町3-36-32,047-424-3351,"{'lat': 35.697023, 'lng': 139.9865711}"
ひなぎく幼稚園,〒273-0021　千葉県船橋市海神4-29-10,047-431-3569,"{'lat': 35.7112753, 'lng': 139.9731043}"
二葉幼稚園,〒273-0021　千葉県船橋市海神5-7-14,047-431-4701,"{'lat': 35.7071806, 'lng': 139.9706606}"
海神幼稚園,〒273-0021　千葉県船橋市海神6-18-34,047-431-5708,"{'lat': 35.7053223, 'lng': 139.9686492}"
山野幼稚園,〒273-0031　千葉県船橋市西船2-10-7,047-431-2431,"{'lat': 35.7104453, 'lng': 139.9667138}"
西船幼稚園,〒273-0031　千葉県船橋市西船2-32-25,047-431-2932,"{'lat': 35.7164748, 'lng': 139.9693477}"
葛飾幼稚園,〒273-0031　千葉県船橋市西船4-16-4,047-431-4463,"{'lat': 35.7104859, 'lng': 139.9585892}"
船橋ひかり幼稚園,〒273-0034　千葉県船橋市二子町498,047-335-5998,"{'lat': 35.711025, 'lng': 139.9487909}"
健伸行田幼稚園,〒273-0044　千葉県船橋市行田2-4-3,047-439-2125,"{'lat': 35.718081, 'lng': 139.9734108}"
清和幼稚園,〒273-0042　千葉県船橋市前貝塚町645,047-439-1798,"{'lat': 35.7259624, 'lng': 139.9745507}"
コスモス幼稚園,〒273-0046　千葉県船橋市上山町3-512,047-438-2790,"{'lat': 35.7345551, 'lng': 139.9827781}"
健伸幼稚園,〒273-0048　千葉県船橋市丸山5-12-7,047-438-7019,"{'lat': 35.7463627, 'lng': 139.9940468}"
日の丸幼稚園,〒273-0855　千葉県船橋市馬込西2-17-11,047-438-4545,"{'lat': 35.7398358, 'lng': 139.9924782}"
船橋ひまわり幼稚園,〒273-0865　千葉県船橋市夏見5-26-22,047-422-7051,"{'lat': 35.7109437, 'lng': 139.9933361}"
シオン幼稚園,〒273-0865　千葉県船橋市夏見6-6-6,047-422-5644,"{'lat': 35.7136475, 'lng': 139.9950289}"
夏見台幼稚園,〒273-0866　千葉県船橋市夏見台2-16-1,047-429-7231,"{'lat': 35.721378, 'lng': 139.9964988}"
金杉幼稚園,〒273-0853　千葉県船橋市金杉3-6-1,047-439-2525,"{'lat': 35.731348, 'lng': 140.0071146}"
第二船橋ひまわり幼稚園,〒273-0853　千葉県船橋市金杉8-4-12,047-448-3960,"{'lat': 35.7319823, 'lng': 140.0123793}"
みどり台幼稚園,〒274-0818　千葉県船橋市緑台2-6,047-448-3311,"{'lat': 35.7285977, 'lng': 140.0163592}"
みのり第二幼稚園,〒274-0816　千葉県船橋市芝山2-5-17,047-467-6059,"{'lat': 35.720027, 'lng': 140.018132}"
栄光幼稚園,〒274-0816　千葉県船橋市芝山3-10-9,047-464-8084,"{'lat': 35.7163862, 'lng': 140.0210882}"
冨士見幼稚園,〒274-0065　千葉県船橋市高根台1-1-1,047-465-2555,"{'lat': 35.7320212, 'lng': 140.0296744}"
木戸脇幼稚園,〒274-0065　千葉県船橋市高根台7-17-3,047-465-6401,"{'lat': 35.7283096, 'lng': 140.0312152}"
神明幼稚園,〒274-0822　千葉県船橋市飯山満町1-640,047-422-3447,"{'lat': 35.7096473, 'lng': 140.0100379}"
飯山満幼稚園,〒274-0822　千葉県船橋市飯山満町3-1716-2,047-467-1929,"{'lat': 35.7162938, 'lng': 140.0323703}"
冨士見第二幼稚園,〒274-0825　千葉県船橋市前原西6-1-13,047-474-0324,"{'lat': 35.7032594, 'lng': 140.0246576}"
中台幼稚園,〒274-0824　千葉県船橋市前原東4-16-11,047-472-7381,"{'lat': 35.7005675, 'lng': 140.0297494}"
たきのい幼稚園,〒274-0073　千葉県船橋市田喜野井6-20-3,047-463-1986,"{'lat': 35.7058381, 'lng': 140.0468535}"
すずらん幼稚園,〒274-0072　千葉県船橋市三山3-40-8,047-472-8726,"{'lat': 35.6966354, 'lng': 140.0515749}"
船橋小鳩幼稚園,〒274-0072　千葉県船橋市三山5-34-3,047-473-3734,"{'lat': 35.7034359, 'lng': 140.054261}"
習志野台幼稚園,〒274-0063　千葉県船橋市習志野台2-59-22,047-466-2151,"{'lat': 35.7276043, 'lng': 140.0472692}"
瑞穂幼稚園,〒274-0063　千葉県船橋市習志野台4-42-20,047-465-3300,"{'lat': 35.7168541, 'lng': 140.0468241}"
船橋いづみ幼稚園,〒274-0063　千葉県船橋市習志野台6-11-22,047-466-5082,"{'lat': 35.7242986, 'lng': 140.0526141}"
木の実幼稚園,〒274-0060　千葉県船橋市坪井東4-7-1,047-457-2055,"{'lat': 35.7250578, 'lng': 140.0623733}"
古和釜幼稚園,〒274-0064　千葉県船橋市松が丘4-32-1,047-464-3030,"{'lat': 35.7328232, 'lng': 140.049007}"
すずみ幼稚園,〒274-0067　千葉県船橋市大穴南3-8-12,047-464-7121,"{'lat': 35.7418181, 'lng': 140.0399346}"
英進幼稚園,〒274-0804　千葉県船橋市みやぎ台3-10-10,047-448-7066,"{'lat': 35.7544783, 'lng': 140.0374044}"
八木ケ谷幼稚園,〒274-0802　千葉県船橋市八木が谷2-18-1,047-447-6729,"{'lat': 35.7606818, 'lng': 140.0328772}"
坪井幼稚園,〒274-0062　千葉県船橋市坪井町133-1,047-456-1075,"{'lat': 35.7351081, 'lng': 140.0659769}"
