施設名,住所,電話番号(代表),geocodes
キッズハウスくれよん,〒273-0864千葉県船橋市北本町2-21-18,047-423-5729,"{'northeast': {'lat': 35.7173542802915, 'lng': 139.9866254302915}, 'southwest': {'lat': 35.7146563197085, 'lng': 139.9839274697085}}"
あずかルンバ,〒273-0012千葉県船橋市浜町2-2-7　ビビット南船橋4Ｆ,047-402-6613,"{'northeast': {'lat': 35.6888507802915, 'lng': 139.9946140802915}, 'southwest': {'lat': 35.6861528197085, 'lng': 139.9919161197085}}"
リトルガーデンインターナショナルスクール,〒273-0012千葉県船橋市浜町2-1-1　三井ビルディング1F,047-404-4321,"{'northeast': {'lat': 35.68615208029149, 'lng': 139.9935964802915}, 'southwest': {'lat': 35.68345411970849, 'lng': 139.9908985197085}}"
西船橋北口駅前キッズルーム,〒273-0031千葉県船橋市西船4-21-1　デイジイファーストビル502号,047-435-6900,"{'northeast': {'lat': 35.7105324302915, 'lng': 139.9598611802915}, 'southwest': {'lat': 35.7078344697085, 'lng': 139.9571632197085}}"
駅前保育園　りりぱっと,〒274-0825千葉県船橋市前原西2-14-1　ダイアパレス津田沼1302,047-476-3318,"{'northeast': {'lat': 35.6933466802915, 'lng': 140.0216826802915}, 'southwest': {'lat': 35.6906487197085, 'lng': 140.0189847197085}}"
E-Life International School,〒273-0047千葉県船橋市藤原2-18-30　ソレアードⅠ105,047-375-8866,"{'northeast': {'lat': 35.73284698029151, 'lng': 139.9705117802915}, 'southwest': {'lat': 35.73014901970851, 'lng': 139.9678138197085}}"
船橋インターナショナルスクール[FIS],〒273-0005千葉県船橋市本町6-5-8　ステイタスYUHARA102,050-5586-2086,"{'northeast': {'lat': 35.7060489802915, 'lng': 139.9878117802915}, 'southwest': {'lat': 35.7033510197085, 'lng': 139.9851138197085}}"
Kids Club カリン（休園）,〒273-0024千葉県船橋市海神町南1-741-1 アーティザン西船橋401,047-433-0640,"{'northeast': {'lat': 35.7033325302915, 'lng': 139.9626140302915}, 'southwest': {'lat': 35.7006345697085, 'lng': 139.9599160697085}}"
ICEモンテッソーリこどものいえ西船橋,〒273-0032千葉県船橋市葛飾町2-336-1 キュービル5F,047-401-4765,"{'northeast': {'lat': 35.7085701302915, 'lng': 139.9593834802915}, 'southwest': {'lat': 35.7058721697085, 'lng': 139.9566855197085}}"
キッズルーム　森のくまさん,〒274-0812千葉県船橋市三咲3-1-14　増田ハイツ106,080-4435-5952,"{'northeast': {'lat': 35.7518763802915, 'lng': 140.0329687802915}, 'southwest': {'lat': 35.7491784197085, 'lng': 140.0302708197085}}"
ファミリー保育室分園　ふれんど,〒274-0822千葉県船橋市飯山満町3-1513-2階,047-769-4619,"{'northeast': {'lat': 35.7137610802915, 'lng': 140.0346814802915}, 'southwest': {'lat': 35.71106311970851, 'lng': 140.0319835197085}}"
グリーンベアベイサイド船橋夏見校,〒273-0865千葉県船橋市夏見1-9-27,047-411-0555,"{'northeast': {'lat': 35.7079877802915, 'lng': 139.9899492802915}, 'southwest': {'lat': 35.7052898197085, 'lng': 139.9872513197085}}"
キッズステーション,〒273-0044千葉県船橋市行田3-2-13-103,047-779-3802,"{'northeast': {'lat': 35.7203878802915, 'lng': 139.9720185802915}, 'southwest': {'lat': 35.7176899197085, 'lng': 139.9693206197085}}"
ナーサリーホーム船橋,〒273-0864千葉県船橋市北本町2-65-1,047-411-5178,"{'northeast': {'lat': 35.71592468029149, 'lng': 139.9865960802915}, 'southwest': {'lat': 35.71322671970849, 'lng': 139.9838981197085}}"
カデナ・アメリカン・プリスクール,〒274-0825　千葉県船橋市前原西2-32-5　3階,047-474-0808,"{'northeast': {'lat': 35.6956685302915, 'lng': 140.0243585302915}, 'southwest': {'lat': 35.6929705697085, 'lng': 140.0216605697085}}"
りりぱっとsteps,〒274-0825千葉県船橋市前原西2-11-6,047-411-8817,"{'northeast': {'lat': 35.6948322802915, 'lng': 140.0223348802915}, 'southwest': {'lat': 35.6921343197085, 'lng': 140.0196369197085}}"
菅長学園,〒274-0072千葉県船橋市三山6-18-10,047-477-7799,"{'northeast': {'lat': 35.7060324802915, 'lng': 140.0582266802915}, 'southwest': {'lat': 35.7033345197085, 'lng': 140.0555287197085}}"
ひまわりガーデン西船橋,〒273-0024千葉県船橋市海神町南1-1742-1,047-401-8721,"{'northeast': {'lat': 35.70406378029149, 'lng': 139.9635351802915}, 'southwest': {'lat': 35.7013658197085, 'lng': 139.9608372197085}}"
Milky Way International Nursery Center下総中山校,〒273-0035千葉県船橋市本中山2丁目15番7号,047-314-8433,"{'northeast': {'lat': 35.71643968029149, 'lng': 139.9450604802915}, 'southwest': {'lat': 35.71374171970849, 'lng': 139.9423625197085}}"
RuRi船橋保育園,〒274-0822　千葉県船橋市飯山満町2-627-2,047-440-8744,"{'northeast': {'lat': 35.7079285802915, 'lng': 140.0266474302915}, 'southwest': {'lat': 35.7052306197085, 'lng': 140.0239494697085}}"
コンパス幼保園　船橋校,〒273-0047千葉県船橋市藤原7-17-28　日本都市馬込沢ビル4F,047-401-0000,"{'northeast': {'lat': 35.74376588029149, 'lng': 139.9922647802915}, 'southwest': {'lat': 35.7410679197085, 'lng': 139.9895668197085}}"
ひまわりガーデン薬円台,〒274-0077千葉県船橋市薬円台5-4-8,047-402-6752,"{'northeast': {'lat': 35.7110213802915, 'lng': 140.0402771302915}, 'southwest': {'lat': 35.7083234197085, 'lng': 140.0375791697085}}"
